Date,Open,High,Low,Close,Volume,AdrActCnt,FeeTotNtv,HashRate,SplyCur,TxCnt,DXY_Close,TNX_Yield,FeeTotUSD,True_Market_Cap,Fee_to_MCap,Log_Return,Target_Next_Log_Return,Rolling_Volatility,log_True_Market_Cap,log_FeeTotUSD,log_AdrActCnt,log_HashRate,log_Fee_to_MCap,Split
2014-10-17,382.7560119628906,385.4779968261719,375.3890075683594,383.7579956054688,13600700,180122.0,11.30672073,247077.560329999,13394789.78556887,68154.0,85.19000244140625,2.1989998817443848,4339.044484215602,5140357679.666516,8.441133389179059e-07,0.0031370869973757617,0.01982518661870079,0.039426208375151595,22.360388501670684,8.375639876861184,12.101395229839763,12.417461623056576,8.44112982654442e-07,Train
2014-10-18,383.97601318359375,395.1579895019531,378.9710083007813,391.4419860839844,11416800,176676.0,10.41520998,285357.182352957,13398889.78556887,66863.0,85.19000244140625,2.1989998817443848,4076.9504800529353,5244888028.98349,7.773188784057012e-07,0.01982518661870079,-0.004855387987120306,0.03746582191728544,22.380519730613223,8.313349807866198,12.082078485715726,12.561500450349454,7.773185762935384e-07,Train
2014-10-19,391.2539978027344,393.9389953613281,386.4570007324219,389.5459899902344,5914570,236855.0,10.89741535,231417.714956971,13402214.78556887,65258.0,85.19000244140625,2.1989998817443848,4245.044450850526,5220779026.706183,8.131055593687419e-07,-0.004855387987120306,-0.017351722052715512,0.035086547763917536,22.375912466730096,8.353743111085116,12.375207640519953,12.351983967554187,8.131052287985958e-07,Train
2014-10-20,389.2309875488281,390.0840148925781,378.25201416015625,382.8450012207031,16419000,201790.0,12.9705687,238377.646233873,13405639.78556887,82251.0,84.94999694824219,2.180999994277954,4965.717389784713,5132282180.07042,9.675456679033534e-07,-0.017351722052715512,0.009436987957972875,0.03455661258679606,22.358816266808315,8.510514415921623,12.21498778729461,12.381615638994955,9.675451998313457e-07,Train
2014-10-21,382.4209899902344,392.64599609375,380.8340148925781,386.4750061035156,14188900,206733.0,12.82887487,266217.371341478,13409464.78556887,80753.0,85.30999755859375,2.2079999446868896,4958.039493684488,5182422984.847607,9.567029762296184e-07,0.009436987957972875,-0.008619789324393464,0.034345043469015055,22.368538541738825,8.508967350499463,12.239188221741381,12.492072195865664,9.56702518589618e-07,Train
2014-10-22,386.1180114746094,388.5759887695313,382.2489929199219,383.1579895019531,11641300,201731.0,12.59181827,276657.26825683,13413439.78556887,79124.0,85.73999786376953,2.2290000915527344,4824.655772507162,5139466620.544078,9.387463969940932e-07,-0.008619789324393464,-0.06675031813644425,0.034324983738832957,22.36021514090138,8.481701915938416,12.21469536282106,12.530538334945723,9.3874595637197e-07,Train
2014-10-23,382.9620056152344,385.0480041503906,356.4469909667969,358.4169921875,26456900,198755.0,12.77735705,267771.331001111,13417214.78556887,80410.0,85.83999633789062,2.275000095367432,4579.621881966748,4808957766.977247,9.523106884852824e-07,-0.06675031813644425,-0.00020087830465635576,0.032681683029807514,22.29374621733131,8.429590049979486,12.199833220740155,12.497892387263994,9.523102350377466e-07,Train
2014-10-24,358.59100341796875,364.3450012207031,353.30499267578125,358.3450012207031,15585700,196085.0,12.91773007,284428.084979115,13421189.78556887,81413.0,85.7300033569336,2.2730000019073486,4629.003997702863,4809416270.092965,9.624876986606494e-07,-0.00020087830465635576,-0.031390769190214725,0.032412698750809425,22.29384155633855,8.44031301051465,12.186308617489033,12.558239239541276,9.624872354696616e-07,Train
2014-10-25,358.6109924316406,359.8609924316406,342.87701416015625,347.27099609375,18127500,202433.0,10.51471173,277272.661457628,13425064.78556887,68922.0,85.7300033569336,2.2730000019073486,3651.454416115737,4662135620.707628,7.832149712456268e-07,-0.031390769190214725,0.021178223352178425,0.032502619324573746,22.26273946802222,8.203154663359635,12.218169186477407,12.532760244970993,7.832146645329414e-07,Train
2014-10-26,347.48699951171875,359.22100830078125,343.9309997558594,354.7040100097656,11272500,214842.0,11.27229481,223606.985046474,13428189.78556887,70568.0,85.7300033569336,2.2730000019073486,3998.328171119269,4763032764.113453,8.394500666139089e-07,0.021178223352178425,-0.004846733365239283,0.032782484491907134,22.28415043783311,8.293881668775452,12.277662807801999,12.317649730924527,8.394497142758989e-07,Train
2014-10-27,354.7770080566406,358.6319885253906,349.8089904785156,352.989013671875,13033000,225066.0,13.69116336,284428.084979115,13432164.78556887,85089.0,85.5,2.256999969482422,4832.830250466914,4741406599.136048,1.0192819682132983e-06,-0.004846733365239283,0.013028475982844394,0.03274939532653575,22.279599679715055,8.483394444897355,12.324153414637331,12.558239239541276,1.019281448745786e-06,Train
2014-10-28,353.2149963378906,359.9840087890625,352.6789855957031,357.6180114746094,7845880,205248.0,13.38882665,246862.111491307,13435614.78566886,87975.0,85.41000366210938,2.2839999198913574,4788.085562551256,4804817842.589758,9.965176036664308e-07,0.013028475982844394,-0.06357224291092703,0.03128223128440553,22.292884968887275,8.474094766658524,12.231979155195619,12.416589257493408,9.965171071430933e-07,Train
