feature,corr_to_next_return
10Y Treasury yield,-0.02271287015539241
Active addresses,0.02266221219348898
Fee to market cap,0.021580928343037428
True Market Cap,-0.020297564871496178
Rolling volatility,0.014676368421549875
Hash rate,-0.013413740827503462
Fees in USD,0.007577409842661648
US Dollar Index,-0.003981516744549203
