Regime,days,avg_next_return,volatility,avg_dxy,avg_tnx,avg_active_addresses
Bear,757,0.0002187800929580733,0.03823693592107142,97.51273450763254,2.643591807572026,697624.6988110965
Bull,1331,0.0029280772943259766,0.040599543272874405,97.64347124565462,2.4993651378969783,820170.573253193
Consolidation,1881,0.0010923538834556753,0.029047325323712077,98.7307601555556,2.86346145261798,704131.9989367358
Macro shock,202,-0.0019362940386677006,0.026336550549281346,102.75648521196725,2.9529158366788733,754902.8366336634
