feature,model_importance,permutation_rmse_increase
Active addresses,0.37285513268561377,0.000112438573666372
True Market Cap,0.33747950218511047,4.3874020210530644e-05
Rolling volatility,0.0648487299016587,6.056368769415295e-06
Fee to market cap,0.01591563883560915,-4.0151349381262193e-07
Hash rate,0.021970954885787968,-1.6738369582691356e-06
10Y Treasury yield,0.06962566361353312,-2.1464475162696202e-06
US Dollar Index,0.03944876088249944,-7.428594375847967e-06
Fees in USD,0.07785561701018746,-1.8089406830187894e-05
